short_name;value_eur;wage_eur;player_positions;club;id
Y. Sommer; 21000000; 37000;GK;Borussia Mönchengladbach;  138
E. Džeko; 19500000; 75000;ST;Roma;  139
G. Wijnaldum; 31000000;140000;CM, CDM;Liverpool;  140
I. Perišić; 29500000;135000;LM;FC Bayern München;  141
M. Mandžukić; 19500000;160000;ST, LW;Juventus;  142
A. Vidal; 23500000;205000;CM, CDM;FC Barcelona;  143
J. Boateng; 25000000;125000;CB;FC Bayern München;  144
Azpilicueta; 25500000;145000;RB, CB;Chelsea;  145
José Callejón; 24000000; 96000;RM, RW;Napoli;  146
I. Gündoğan; 31000000;180000;CM, CDM;Manchester City;  147
Paulinho; 29000000; 43000;CM, CAM, CDM;Guangzhou Evergrande Taobao FC;  148
K. Walker; 25500000;165000;RB;Manchester City;  149
Canales; 31500000; 44000;CAM, CM, CF;Real Betis;  150
Douglas Costa; 31500000;155000;LM, RW, LW;Juventus;  151
Pizzi; 30500000; 26000;RM, CM;SL Benfica;  152
D. Tadić; 29500000; 36000;CAM, LW, ST;Ajax;  153
J. Iličić; 28000000; 92000;CF, ST;Atalanta;  154
R. Mahrez; 31500000;195000;RW, RM;Manchester City;  155
E. Višća; 30500000; 67000;RM, RW;Medipol Başakşehir FK;  156
Felipe; 25000000; 74000;CB;Atlético Madrid;  157
Fabián; 36000000; 76000;CM, CDM, CAM;Napoli;  158
A. Romagnoli; 32000000; 46000;CB;Milan;  159
G. Lo Celso; 35000000;105000;CM, CAM, CF;Tottenham Hotspur;  160
T. Alexander-Arnold; 32000000; 78000;RB;Liverpool;  161
L. Jović; 36500000;155000;ST;Real Madrid;  162
A. Milik; 35000000; 91000;ST;Napoli;  163
A. Martial; 34500000;140000;LW, ST, LM;Manchester United;  164
Anderson Talisca; 34500000; 38000;CAM, RW;Guangzhou Evergrande Taobao FC;  165
J. Tah; 31000000; 67000;CB;Bayer 04 Leverkusen;  166
C. Tolisso; 34000000;110000;CM, CDM;FC Bayern München;  167
Pau López; 26000000; 38000;GK;Roma;  168
Gonçalo Guedes; 34500000; 46000;LM, ST;Valencia CF;  169
N. Pépé; 34500000; 97000;RM, RW, ST;Arsenal;  170
M. Akanji; 31000000; 77000;CB;Borussia Dortmund;  171
M. Rashford; 35500000;125000;ST, LM;Manchester United;  172
J. Stones; 30000000;140000;CB;Manchester City;  173
A. Rabiot; 33000000;120000;CM, CDM;Juventus;  174
Grimaldo; 29500000; 18000;LB;SL Benfica;  175
T. Werner; 34500000; 70000;ST;RB Leipzig;  176
T. Lemar; 34000000; 64000;LM, CAM, RM;Atlético Madrid;  177
D. Sánchez; 30500000; 93000;CB;Tottenham Hotspur;  178
Marco Asensio; 34000000;180000;LW, RW;Real Madrid;  179
L. Digne; 28500000; 97000;LB;Everton;  180
J. Draxler; 32500000;100000;CAM, CM, LW;Paris Saint-Germain;  181
J. Pickford; 24000000; 78000;GK;Everton;  182
Y. Carrasco; 32500000; 23000;LM;Dalian YiFang FC;  183
Borja Iglesias; 32500000; 41000;ST;Real Betis;  184
K. Casteels; 22000000; 50000;GK;VfL Wolfsburg;  185
W. Zaha; 32000000; 89000;CF, LM, LW;Crystal Palace;  186
Paco Alcácer; 32000000;105000;ST;Borussia Dortmund;  187
Morata; 32000000; 80000;ST;Atlético Madrid;  188
S. Haller; 32000000;120000;ST;West Ham United;  189
William Carvalho; 27500000; 35000;CDM, CM;Real Betis;  190
F. Bernardeschi; 31500000;130000;RM, CAM;Juventus;  191
D. Djené; 27000000; 35000;CB;Getafe CF;  192
Oscar; 29500000; 29000;CAM, CM;Shanghai SIPG FC;  193
K. Trapp; 21500000; 42000;GK;Eintracht Frankfurt;  194
Bartra; 25500000; 36000;CB;Real Betis;  195
Pablo Sarabia; 29500000;105000;CAM, CM, RM;Paris Saint-Germain;  196
J. Cillessen; 20000000; 39000;GK;Valencia CF;  197
Lucas Moura; 31000000;130000;CF, RM, LM;Tottenham Hotspur;  198
F. Thauvin; 30500000; 60000;RW, RM;Olympique de Marseille;  199
Jorginho; 29000000;140000;CM, CDM;Chelsea;  200
G. Buffon;  2600000; 58000;GK;Juventus;  201
Casillas;  2600000; 11000;GK;FC Porto;  202
R. Jarstein; 11500000; 33000;GK;Hertha BSC;  203
V. Kompany; 12000000; 31000;CB;RSC Anderlecht;  204
Raúl Albiol; 12000000; 45000;CB;Villarreal CF;  205
F. Quagliarella;  9500000; 46000;ST;Sampdoria;  206
K. Schmeichel; 15500000; 82000;GK;Leicester City;  207
Falcao; 16500000; 64000;ST;AS Monaco;  208
Miranda;  9500000; 32000;CB;Jiangsu Suning FC;  209
C. Vela; 24500000; 17000;RW, LW, CAM;Los Angeles FC;  210
E. Garay; 16500000; 48000;CB;Valencia CF;  211
Rui Patrício; 16500000; 82000;GK;Wolverhampton Wanderers;  212
R. Nainggolan; 22500000; 51000;CAM, CM;Cagliari;  213
E. Banega; 19500000; 26000;CDM, CM, CAM;Sevilla FC;  214
Diego Costa; 25000000; 80000;ST;Atlético Madrid;  215
S. Khedira; 19500000;135000;CM, CDM;Juventus;  216
David Luiz; 16500000;105000;CB;Arsenal;  217
M. Kruse; 23500000;105000;CF, ST, CAM;Fenerbahçe SK;  218
J. Henderson; 22000000;115000;CDM, CM;Liverpool;  219
G. Sigurðsson; 25500000;120000;CAM;Everton;  220
A. Ramsey; 25500000;140000;CM, CAM;Juventus;  221
Illarramendi; 22000000; 42000;CDM, CM;Real Sociedad;  222
D. Blind; 22000000; 31000;CDM, CB, LB;Ajax;  223
L. Hrádecký; 18500000; 67000;GK;Bayer 04 Leverkusen;  224
N. Otamendi; 19000000;145000;CB;Manchester City;  225
J. Cuadrado; 22500000;135000;RM, RW;Juventus;  226
I. Gueye; 22000000;100000;CDM;Paris Saint-Germain;  227
K. Kampl; 25500000; 77000;CM, CAM, CDM;RB Leipzig;  228
Rodrigo; 27000000; 60000;ST;Valencia CF;  229
C. Aránguiz; 24000000; 86000;CM, CDM;Bayer 04 Leverkusen;  230
W. Ben Yedder; 27000000; 67000;ST;AS Monaco;  231
F. Acerbi; 19000000; 64000;CB;Lazio;  232
Danilo Pereira; 24000000; 21000;CDM, CM;FC Porto;  233
A. Kramarić; 27000000; 61000;ST, CAM, LW;TSG 1899 Hoffenheim;  234
Louri Beretta; 27500000; 60000;ST, CF;Atlético Mineiro;  235
Josué Chiamulera; 23500000; 43000;CB;Grêmio;  236
Ronaldo Cabrais; 27000000; 51000;RW, CAM;Grêmio;  237
Oyarzabal; 31000000; 39000;LW, LM, RW;Real Sociedad;  238
L. Bailey; 30500000; 65000;LW, RW;Bayer 04 Leverkusen;  239
Gabriel Jesus; 31000000;140000;ST;Manchester City;  240
M. Kovačić; 29000000;125000;CM;Chelsea;  241
A. Belotti; 30000000; 63000;ST;Torino;  242
T. Strakosha; 22000000; 39000;GK;Lazio;  243
N. Keïta; 29000000; 95000;CM, CDM;Liverpool;  244
L. Torreira; 27000000; 80000;CDM, CM;Arsenal;  245
Rúben Neves; 29000000; 89000;CM;Wolverhampton Wanderers;  246
P. Kimpembe; 26500000; 75000;CB;Paris Saint-Germain;  247
S. Bergwijn; 30000000; 22000;RW, CAM, LW;PSV;  248
A. Onana; 22000000; 18000;GK;Ajax;  249
Nélson Semedo; 26000000;150000;RB;FC Barcelona;  250
A. Areola; 21000000; 71000;GK;Paris Saint-Germain;  251
M. Perin; 21000000; 90000;GK;Juventus;  252
D. Rugani; 26000000; 95000;CB;Juventus;  253
A. Correa; 29000000; 59000;RM, ST;Atlético Madrid;  254
Iñaki Williams; 29000000; 36000;ST, RW;Athletic Club de Bilbao;  255
H. Lozano; 29000000; 26000;RW, LW;PSV;  256
Gelson Martins; 29000000; 47000;RM, RW;AS Monaco;  257
B. Lecomte; 20000000; 42000;GK;AS Monaco;  258
T. Partey; 27000000; 68000;CM, CDM, RM;Atlético Madrid;  259
K. Demirbay; 27500000; 75000;CM;Bayer 04 Leverkusen;  260
J. Matip; 23000000; 99000;CB;Liverpool;  261
Suso; 27000000; 56000;RW, CF;Milan;  262
S. Savić; 22500000; 65000;CB;Atlético Madrid;  263
A. Rüdiger; 24000000;115000;CB;Chelsea;  264
Pacheco; 18500000; 27000;GK;Deportivo Alavés;  265
Ricardo Pereira; 23500000; 89000;RB, RM;Leicester City;  266
N. Tagliafico; 23500000; 27000;LB;Ajax;  267
David Soria; 19500000; 26000;GK;Getafe CF;  268
Sergio Asenjo; 17000000; 33000;GK;Villarreal CF;  269
Muniain; 26000000; 35000;CAM, LW;Athletic Club de Bilbao;  270
M. Götze; 26000000; 98000;CF, CAM, CM;Borussia Dortmund;  271
T. Delaney; 23000000; 82000;CDM, CM;Borussia Dortmund;  272
O. Baumann; 18000000; 39000;GK;TSG 1899 Hoffenheim;  273
Willian José; 26000000; 44000;ST;Real Sociedad;  274
Sergi Roberto; 22000000;155000;RB, RM, CM;FC Barcelona;  275
N. Schulz; 22500000; 82000;LWB, LM, LB;Borussia Dortmund;  276
K. Volland; 26500000; 85000;ST, RW, LW;Bayer 04 Leverkusen;  277
Nacho Fernández; 21000000;165000;CB, LB, RB;Real Madrid;  278
Gabriel Paulista; 21500000; 46000;CB;Valencia CF;  279
J. Roussillon; 22500000; 56000;LB;VfL Wolfsburg;  280
H. Maguire; 23000000;125000;CB;Manchester United;  281
T. Hazard; 26000000; 90000;RM, LM, CF;Borussia Dortmund;  282
E. Forsberg; 25500000; 67000;CAM, LM;RB Leipzig;  283
F. Kostić; 26000000; 49000;LM, LWB;Eintracht Frankfurt;  284
M. Politano; 26500000; 77000;RM, ST;Inter;  285
Rafa; 26000000; 21000;LM, RM;SL Benfica;  286
Pepe Reina;  3700000; 26000;GK;Milan;  287
D. De Rossi;  7000000; 23000;CDM;Boca Juniors;  288
Aduriz;  8000000; 29000;ST;Athletic Club de Bilbao;  289
Jesús Navas; 13500000; 26000;RM, RB;Sevilla FC;  290
Santi Cazorla; 11000000; 45000;CM, CDM, LM;Villarreal CF;  291
H. Herrera; 21500000; 70000;CM;Atlético Madrid;  292
L. Biglia; 11000000; 49000;CDM, CM;Milan;  293
L. Fabiański;  9500000; 75000;GK;West Ham United;  294
E. Viviano; 12000000; 15000;GK;Sporting CP;  295
Juan Mata; 19500000;135000;CAM, RM;Manchester United;  296
O. Giroud; 17500000;140000;ST;Chelsea;  297
S. Kjær; 18000000; 24000;CB;Sevilla FC;  298
Willian; 21000000;140000;RW, LW;Chelsea;  299
V. Ćorluka; 10500000;  1000;CB;Lokomotiv Moscow;  300
M. Arnautović; 21500000; 29000;ST;Shanghai SIPG FC;  301
A. Sánchez; 21000000;150000;LW, LM;Manchester United;  302
Giuliano; 21500000; 59000;CAM;Al Nassr;  303
A. Kolarov; 10000000; 52000;LB;Roma;  304
M. Balotelli; 23000000; 27000;ST;Brescia;  305
Marlos; 19500000;  1000;RM, CAM;Shakhtar Donetsk;  306
Taison; 19500000;  1000;CAM, LM;Shakhtar Donetsk;  307
B. Dost; 21500000; 23000;ST;Sporting CP;  308
G. Bonaventura; 21500000; 56000;CM, LW;Milan;  309
Pedro; 19500000;140000;RW, LW;Chelsea;  310
L. de Jong; 23000000; 29000;ST;Sevilla FC;  311
S. El Shaarawy; 24000000; 29000;LW;Shanghai Greenland Shenhua FC;  312
Ander Herrera; 21500000;100000;CM, CDM;Paris Saint-Germain;  313
X. Shaqiri; 23000000;120000;RW, RM;Liverpool;  314
Mário Fernandes; 19000000;  1000;RWB, RM;PFC CSKA Moscow;  315
S. Coates; 19500000; 20000;CB;Sporting CP;  316
C. Bakambu; 23000000; 34000;ST;Beijing Sinobo Guoan FC;  317
T. Meunier; 20000000; 87000;RB, RM;Paris Saint-Germain;  318
K. Bellarabi; 21500000; 89000;RW;Bayer 04 Leverkusen;  319
J. Lingard; 24000000;135000;CAM, RW;Manchester United;  320
Q. Promes; 23000000; 32000;LW, RW;Ajax;  321
J. Vardy; 17500000;115000;ST;Leicester City;  322
D. Zapata; 23000000; 80000;ST;Atalanta;  323
Morales; 20000000; 39000;ST, LM;Levante UD;  324
Raphaelito Anjos; 14000000; 32000;GK;Grêmio;  325
Juiano Mestres;  6500000; 28000;CB, CDM;Cruzeiro;  326
Rosberto Dourado; 17000000; 46000;CDM, CM, CAM;Atlético Mineiro;  327
E. Schetino;        0;     0;CB;Uruguay;  328
J. Sildero;        0;     0;CAM, RM;Uruguay;  329
L. Martínez; 27000000; 61000;ST;Inter;  330
H. Aouar; 26000000; 59000;CM;Olympique Lyonnais;  331
T. Ndombele; 26000000; 87000;CM, CDM;Tottenham Hotspur;  332
Éder Militão; 23000000;105000;CB, RB;Real Madrid;  333
A. Cragno; 18000000; 30000;GK;Cagliari;  334
D. van de Beek; 24500000; 24000;CAM, CM;Ajax;  335
V. Lindelöf; 22000000; 97000;CB;Manchester United;  336
Dani Ceballos; 24000000; 82000;CM, LM, CDM;Arsenal;  337
Pablo Fornals; 24500000; 82000;CAM, CM, LM;West Ham United;  338
E. Can; 23000000;110000;CM, CDM;Juventus;  339
Gayà; 21000000; 35000;LB;Valencia CF;  340
David Neres; 24000000; 26000;LW, RW, CAM;Ajax;  341
P. Zieliński; 22500000; 71000;CM, LM;Napoli;  342
G. Rulli; 16000000; 32000;GK;Montpellier HSC;  343
G. Xhaka; 21500000; 94000;CM, CDM;Arsenal;  344
Rafinha; 22000000;160000;CAM, CM, RW;FC Barcelona;  345
G. Kondogbia; 21500000; 45000;CM, CDM;Valencia CF;  346
M. Sabitzer; 22500000; 59000;CAM, CM;RB Leipzig;  347
L. Shaw; 20000000; 97000;LB;Manchester United;  348
J. Martínez; 22500000; 14000;ST;Atlanta United;  349
A. Doucouré; 20000000; 73000;CDM, CM;Watford;  350
W. Ndidi; 20500000; 74000;CDM, CM;Leicester City;  351
T. Horn; 15500000; 28000;GK;1. FC Köln;  352
W. Orban; 19000000; 57000;CB;RB Leipzig;  353
A. Plea; 22000000; 41000;ST, LW;Borussia Mönchengladbach;  354
Y. Poulsen; 22000000; 65000;ST;RB Leipzig;  355
R. Fraser; 21500000; 76000;LM;Bournemouth;  356
M. Ginter; 19500000; 33000;CB, CDM;Borussia Mönchengladbach;  357
R. Guerreiro; 21500000; 79000;LM, LB, CM;Borussia Dortmund;  358
João Mário; 21500000; 74000;CAM, CM;Inter;  359
Thiago Mendes; 19000000; 73000;CDM, CM;Olympique Lyonnais;  360
A. Izzo; 18500000; 51000;CB;Torino;  361
M. Brozović; 19500000; 68000;CDM, CM;Inter;  362
A. Ljajić; 20500000; 80000;CAM, LW;Beşiktaş JK;  363
J. Corona; 21000000; 19000;RM, RB;FC Porto;  364
Jordi Masip; 14000000; 21000;GK;Real Valladolid CF;  365
T. Vaclík; 14000000; 18000;GK;Sevilla FC;  366
L. Milivojević; 17500000; 66000;CDM, CM;Crystal Palace;  367
Gerard Moreno; 21000000; 45000;ST, CF;Villarreal CF;  368
W. Weghorst; 21000000; 62000;ST;VfL Wolfsburg;  369
Quaresma;  8000000; 59000;RM, LM;Beşiktaş JK;  370
J. Mathieu;  5500000; 13000;CB;Sporting CP;  371
J. Milner; 10500000;105000;CM, LB;Liverpool;  372
L. López;  6500000; 25000;ST;Racing Club;  373
B. Gomis; 11000000; 56000;ST;Al Hilal;  374
M. Dembélé; 15000000; 23000;CM, CAM, CDM;Guangzhou R&F FC;  375
Cesc Fàbregas; 13500000; 50000;CM, CDM;AS Monaco;  376
A. Consigli; 11000000; 48000;GK;Sassuolo;  377
L. Koscielny;  8500000; 39000;CB;FC Girondins de Bordeaux;  378
Jardel;  8500000; 18000;CB;SL Benfica;  379
Renato Augusto; 15000000; 28000;CM, CAM, CDM;Beijing Sinobo Guoan FC;  380
José Fonte;  5500000; 32000;CB;LOSC Lille;  381
A. Guardado; 13500000; 32000;CM, CDM, LM;Real Betis;  382
L. Piszczek;  6000000; 76000;RB;Borussia Dortmund;  383
K. Gameiro; 14000000; 48000;ST;Valencia CF;  384
D. Payet; 14000000; 46000;CAM, LW;Olympique de Marseille;  385
Beñat; 13500000; 32000;CM;Athletic Club de Bilbao;  386
Adán; 11000000; 46000;GK;Atlético Madrid;  387
B. Höwedes; 13000000;  1000;CB, LB;Lokomotiv Moscow;  388
F. Muslera;  9500000; 59000;GK;Galatasaray SK;  389
M. Sissoko; 17000000;105000;CM, CDM;Tottenham Hotspur;  390
M. Parolo;  7000000; 54000;CDM, CM;Lazio;  391
Fernando; 13500000; 22000;CDM, CM;Sevilla FC;  392
N. Gaitán; 15500000; 13000;CAM;Chicago Fire;  393
S. Giovinco; 14000000; 56000;CF, ST, RM;Al Hilal;  394
Luiz Gustavo; 13500000; 42000;CDM, CB;Olympique de Marseille;  395
N. Nkoulou; 15000000; 54000;CB;Torino;  396
N. Matić; 14500000;115000;CDM, CM;Manchester United;  397
Marcos Alonso; 15000000;115000;LB, LWB;Chelsea;  398
H. Mkhitaryan; 17000000; 94000;RM, CAM, RW;Arsenal;  399
André Almeida; 15000000; 18000;RB;SL Benfica;  400
A. Florenzi; 15000000; 51000;RB, RW, LW;Roma;  401
E. Zahavi; 16000000; 25000;CF, ST;Guangzhou R&F FC;  402
F. Vázquez; 16500000; 24000;CM, CAM;Sevilla FC;  403
Lucas Vázquez; 18000000;180000;RW, RM;Real Madrid;  404
Dani García; 17000000; 33000;CM, CDM;Athletic Club de Bilbao;  405
M. Acuña; 18500000; 21000;LW, LB;Sporting CP;  406
Laure Santeiro; 15500000; 40000;CAM, LM, LW;Fluminense;  407
J. Frendado;        0;     0;CB, CDM;Uruguay;  408
S. Ardero;        0;     0;CAM, LM, LW;Uruguay;  409
L. Dálves;        0;     0;ST, CF;Uruguay;  410
S. Mandíquez;        0;     0;ST;Ecuador;  411
João Félix; 28000000; 38000;CF, ST;Atlético Madrid;  412
N. Barella; 21500000; 60000;CM, CAM;Inter;  413
J. Gomez; 20000000; 73000;CB, RB;Liverpool;  414
A. Christensen; 19000000; 85000;CB;Chelsea;  415
M. Maignan; 16000000; 28000;GK;LOSC Lille;  416
Y. Tielemans; 20500000; 76000;CM, CDM;Leicester City;  417
Mario Hermoso; 19000000; 46000;CB;Atlético Madrid;  418
Carlos Soler; 21000000; 36000;RM, CM;Valencia CF;  419
M. Caldara; 18000000; 40000;CB;Milan;  420
H. Winks; 20000000; 82000;CM, CDM;Tottenham Hotspur;  421
K. Piątek; 20500000; 44000;ST;Milan;  422
Diogo Jota; 20500000; 84000;CF, LW;Wolverhampton Wanderers;  423
Marcos Llorente; 18500000; 46000;CDM;Atlético Madrid;  424
F. Mendy; 18000000;115000;LB;Real Madrid;  425
Melendo; 20500000; 26000;RM, LM, CAM;RCD Espanyol;  426
Rúben Dias; 18500000; 14000;CB;SL Benfica;  427
D. Livaković; 15500000;  1000;GK;Dinamo Zagreb;  428
Héctor Bellerín; 17500000; 69000;RB, RWB;Arsenal;  429
B. Mendy; 17500000; 96000;LB;Manchester City;  430
M. Dembélé; 20000000; 71000;ST;Olympique Lyonnais;  431
O. Vlachodimos; 14500000; 12000;GK;SL Benfica;  432
Santi Mina; 20000000; 29000;ST;RC Celta;  433
Rony Lopes; 20000000; 19000;LM, LW;Sevilla FC;  434
J. Correa; 20000000; 53000;CF, ST, CAM;Lazio;  435
T. Bakayoko; 18000000; 85000;CDM, CM;Chelsea;  436
