ls;st;rs;lw;lf;cf;rf;rw;lam;cam;ram;lm;lcm;cm;rcm;rm;lwb;ldm;cdm;rdm;rwb;lb;lcb;cb;rcb;rb;gk
71;71;71;78;78;78;78;78;81;81;81;80;84;84;84;80;79;80;80;80;79;77;73;73;73;77; 0
78;78;78;84;83;83;83;84;84;84;84;83;79;79;79;83;69;66;66;66;69;66;57;57;57;66; 0
64;64;64;62;65;65;65;62;68;68;68;65;74;74;74;65;73;82;82;82;73;75;84;84;84;75; 0
78;78;78;84;83;83;83;84;85;85;85;83;81;81;81;83;70;68;68;68;70;66;58;58;58;66; 0
74;74;74;76;77;77;77;76;80;80;80;77;83;83;83;77;74;78;78;78;74;71;69;69;69;71; 0
82;82;82;81;82;82;82;81;81;81;81;80;79;79;79;80;69;68;68;68;69;67;62;62;62;67; 0
83;83;83;79;82;82;82;79;78;78;78;76;70;70;70;76;60;57;57;57;60;57;54;54;54;57; 0
83;83;83;82;84;84;84;82;82;82;82;81;76;76;76;81;63;62;62;62;63;59;55;55;55;59; 0
67;67;67;63;65;65;65;63;66;66;66;65;71;71;71;65;74;79;79;79;74;76;82;82;82;76; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;85
74;74;74;80;79;79;79;80;82;82;82;82;83;83;83;82;81;82;82;82;81;79;76;76;76;79; 0
62;62;62;61;62;62;62;61;64;64;64;64;69;69;69;64;74;79;79;79;74;77;83;83;83;77; 0
57;57;57;50;53;53;53;50;54;54;54;54;62;62;62;54;71;77;77;77;71;75;83;83;83;75; 0
81;81;81;78;81;81;81;78;82;82;82;79;83;83;83;79;76;80;80;80;76;76;79;79;79;76; 0
73;73;73;74;76;76;76;74;78;78;78;76;81;81;81;76;78;82;82;82;78;78;80;80;80;78; 0
80;80;80;79;80;80;80;79;81;81;81;79;82;82;82;79;78;80;80;80;78;78;78;78;78;78; 0
73;73;73;74;75;75;75;74;76;76;76;76;80;80;80;76;81;84;84;84;81;81;83;83;83;81; 0
71;71;71;77;76;76;76;77;76;76;76;79;78;78;78;79;83;80;80;80;83;82;77;77;77;82; 0
56;56;56;52;52;52;52;52;51;51;51;54;58;58;58;54;71;74;74;74;71;74;83;83;83;74; 0
63;63;63;64;64;64;64;64;66;66;66;67;72;72;72;67;77;81;81;81;77;79;83;83;83;79; 0
79;79;79;83;83;83;83;83;84;84;84;84;84;84;84;84;77;77;77;77;77;74;68;68;68;74; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;85
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;85
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;85
81;81;81;76;78;78;78;76;75;75;75;75;70;70;70;75;57;56;56;56;57;54;53;53;53;54; 0
51;51;51;50;50;50;50;50;50;50;50;53;55;55;55;53;71;74;74;74;71;75;83;83;83;75; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;85
76;76;76;78;78;78;78;78;78;78;78;79;80;80;80;79;81;80;80;80;81;81;78;78;78;81; 0
83;83;83;75;79;79;79;75;76;76;76;73;67;67;67;73;53;52;52;52;53;51;50;50;50;51; 0
68;68;68;74;73;73;73;74;74;74;74;78;77;77;77;78;83;82;82;82;83;83;80;80;80;83; 0
76;76;76;82;81;81;81;82;83;83;83;83;81;81;81;83;69;69;69;69;69;66;57;57;57;66; 0
82;82;82;77;80;80;80;77;80;80;80;75;74;74;74;75;53;57;57;57;53;50;52;52;52;50; 0
75;75;75;83;82;82;82;83;83;83;83;82;76;76;76;82;64;60;60;60;64;60;48;48;48;60; 0
82;82;82;78;81;81;81;78;78;78;78;75;70;70;70;75;53;52;52;52;53;49;47;47;47;49; 0
72;72;72;75;74;74;74;75;76;76;76;76;78;78;78;76;82;82;82;82;82;82;81;81;81;82; 0
84;84;84;84;84;84;84;84;82;82;82;83;78;78;78;83;72;69;69;69;72;70;66;66;66;70; 0
80;80;80;84;83;83;83;84;83;83;83;84;82;82;82;84;82;81;81;81;82;81;79;79;79;81; 0
77;77;77;77;78;78;78;77;80;80;80;78;82;82;82;78;80;83;83;83;80;80;82;82;82;80; 0
73;73;73;76;75;75;75;76;75;75;75;78;77;77;77;78;83;80;80;80;83;83;81;81;81;83; 0
82;82;82;83;83;83;83;83;82;82;82;81;74;74;74;81;60;57;57;57;60;56;49;49;49;56; 0
77;77;77;80;80;80;80;80;82;82;82;82;85;85;85;82;80;81;81;81;80;77;74;74;74;77; 0
78;78;78;81;81;81;81;81;83;83;83;80;80;80;80;80;67;67;67;67;67;62;57;57;57;62; 0
76;76;76;79;80;80;80;79;81;81;81;81;83;83;83;81;84;86;86;86;84;83;83;83;83;83; 0
75;75;75;83;81;81;81;83;82;82;82;83;75;75;75;83;64;58;58;58;64;59;47;47;47;59; 0
80;80;80;82;82;82;82;82;82;82;82;82;78;78;78;82;65;63;63;63;65;62;54;54;54;62; 0
76;76;76;84;82;82;82;84;82;82;82;83;75;75;75;83;64;59;59;59;64;59;47;47;47;59; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;84
74;74;74;80;79;79;79;80;79;79;79;82;80;80;80;82;83;79;79;79;83;82;76;76;76;82; 0
81;81;81;80;82;82;82;80;82;82;82;81;82;82;82;81;76;78;78;78;76;75;74;74;74;75; 0
68;68;68;70;69;69;69;70;69;69;69;72;72;72;72;72;81;79;79;79;81;82;82;82;82;82; 0
74;74;74;79;79;79;79;79;82;82;82;79;82;82;82;79;76;79;79;79;76;74;73;73;73;74; 0
80;80;80;82;82;82;82;82;82;82;82;82;75;75;75;82;61;58;58;58;61;56;50;50;50;56; 0
79;79;79;80;81;81;81;80;81;81;81;81;81;81;81;81;79;79;79;79;79;78;76;76;76;78; 0
78;78;78;82;82;82;82;82;83;83;83;82;78;78;78;82;64;63;63;63;64;60;51;51;51;60; 0
78;78;78;83;82;82;82;83;82;82;82;82;73;73;73;82;59;54;54;54;59;55;43;43;43;55; 0
78;78;78;82;82;82;82;82;81;81;81;81;74;74;74;81;66;62;62;62;66;62;53;53;53;62; 0
79;79;79;83;82;82;82;83;83;83;83;82;76;76;76;82;61;60;60;60;61;56;50;50;50;56; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;84
75;75;75;81;81;81;81;81;83;83;83;81;80;80;80;81;66;66;66;66;66;62;54;54;54;62; 0
76;76;76;80;79;79;79;80;79;79;79;82;81;81;81;82;83;81;81;81;83;82;78;78;78;82; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;84
57;57;57;59;59;59;59;59;62;62;62;61;68;68;68;61;73;77;77;77;73;75;81;81;81;75; 0
76;76;76;83;81;81;81;83;82;82;82;82;79;79;79;82;72;69;69;69;72;68;59;59;59;68; 0
60;60;60;58;59;59;59;58;59;59;59;60;64;64;64;60;73;76;76;76;73;75;82;82;82;75; 0
73;73;73;77;77;77;77;77;79;79;79;78;81;81;81;78;74;77;77;77;74;72;70;70;70;72; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;84
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;84
79;79;79;80;81;81;81;80;82;82;82;81;83;83;83;81;76;77;77;77;76;74;71;71;71;74; 0
63;63;63;57;59;59;59;57;57;57;57;59;60;60;60;59;71;72;72;72;71;74;82;82;82;74; 0
70;70;70;72;73;73;73;72;75;75;75;73;79;79;79;73;77;81;81;81;77;77;79;79;79;77; 0
74;74;74;81;80;80;80;81;83;83;83;81;77;77;77;81;57;55;55;55;57;51;39;39;39;51; 0
64;64;64;60;63;63;63;60;65;65;65;63;72;72;72;63;74;80;80;80;74;76;84;84;84;76; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;84
82;82;82;76;80;80;80;76;78;78;78;75;74;74;74;75;59;62;62;62;59;55;55;55;55;55; 0
77;77;77;79;79;79;79;79;80;80;80;80;81;81;81;80;79;79;79;79;79;78;76;76;76;78; 0
81;81;81;81;81;81;81;81;80;80;80;81;77;77;77;81;74;71;71;71;74;72;67;67;67;72; 0
82;82;82;76;79;79;79;76;76;76;76;76;75;75;75;76;71;72;72;72;71;70;72;72;72;70; 0
79;79;79;78;79;79;79;78;79;79;79;78;82;82;82;78;81;84;84;84;81;82;84;84;84;82; 0
63;63;63;63;63;63;63;63;66;66;66;66;72;72;72;66;75;79;79;79;75;77;82;82;82;77; 0
66;66;66;70;69;69;69;70;71;71;71;73;76;76;76;73;81;82;82;82;81;81;81;81;81;81; 0
79;79;79;83;82;82;82;83;81;81;81;81;73;73;73;81;67;60;60;60;67;63;53;53;53;63; 0
74;74;74;79;79;79;79;79;82;82;82;80;83;83;83;80;76;79;79;79;76;74;72;72;72;74; 0
81;81;81;78;81;81;81;78;80;80;80;79;82;82;82;79;78;80;80;80;78;78;79;79;79;78; 0
73;73;73;75;74;74;74;75;74;74;74;77;76;76;76;77;82;79;79;79;82;82;80;80;80;82; 0
76;76;76;81;81;81;81;81;82;82;82;81;79;79;79;81;68;67;67;67;68;64;56;56;56;64; 0
76;76;76;83;82;82;82;83;82;82;82;82;76;76;76;82;67;62;62;62;67;63;52;52;52;63; 0
75;75;75;81;80;80;80;81;82;82;82;82;82;82;82;82;75;75;75;75;75;71;65;65;65;71; 0
79;79;79;82;82;82;82;82;83;83;83;82;79;79;79;82;64;63;63;63;64;59;52;52;52;59; 0
80;80;80;82;83;83;83;82;84;84;84;82;78;78;78;82;64;63;63;63;64;59;52;52;52;59; 0
76;76;76;83;81;81;81;83;82;82;82;82;76;76;76;82;63;59;59;59;63;58;47;47;47;58; 0
76;76;76;82;81;81;81;82;81;81;81;82;77;77;77;82;70;64;64;64;70;65;54;54;54;65; 0
56;56;56;55;55;55;55;55;57;57;57;58;64;64;64;58;72;76;76;76;72;74;82;82;82;74; 0
77;77;77;79;80;80;80;79;81;81;81;79;81;81;81;79;76;77;77;77;76;74;73;73;73;74; 0
56;56;56;55;56;56;56;55;58;58;58;58;65;65;65;58;71;77;77;77;71;74;81;81;81;74; 0
77;77;77;81;81;81;81;81;82;82;82;81;81;81;81;81;75;75;75;75;75;72;68;68;68;72; 0
71;71;71;76;75;75;75;76;76;76;76;78;79;79;79;78;81;79;79;79;81;80;76;76;76;80; 0
81;81;81;78;80;80;80;78;77;77;77;77;69;69;69;77;55;53;53;53;55;51;47;47;47;51; 0
80;80;80;74;77;77;77;74;73;73;73;72;67;67;67;72;56;55;55;55;56;54;52;52;52;54; 0
81;81;81;82;82;82;82;82;80;80;80;80;73;73;73;80;64;59;59;59;64;60;54;54;54;60; 0
80;80;80;80;81;81;81;80;81;81;81;80;79;79;79;80;68;69;69;69;68;66;63;63;63;66; 0
52;52;52;52;53;53;53;52;57;57;57;57;64;64;64;57;70;76;76;76;70;73;81;81;81;73; 0
78;78;78;77;78;78;78;77;79;79;79;77;81;81;81;77;76;80;80;80;76;76;77;77;77;76; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;83
78;78;78;81;81;81;81;81;80;80;80;80;74;74;74;80;63;60;60;60;63;59;51;51;51;59; 0
79;79;79;82;81;81;81;82;81;81;81;81;73;73;73;81;61;55;55;55;61;57;46;46;46;57; 0
62;62;62;64;64;64;64;64;66;66;66;67;72;72;72;67;76;79;79;79;76;77;81;81;81;77; 0
81;81;81;82;82;82;82;82;80;80;80;81;73;73;73;81;65;62;62;62;65;62;57;57;57;62; 0
59;59;59;64;63;63;63;64;67;67;67;68;72;72;72;68;77;80;80;80;77;78;81;81;81;78; 0
77;77;77;77;78;78;78;77;79;79;79;78;81;81;81;78;77;80;80;80;77;77;78;78;78;77; 0
72;72;72;78;76;76;76;78;77;77;77;79;79;79;79;79;82;78;78;78;82;81;74;74;74;81; 0
82;82;82;81;81;81;81;81;78;78;78;79;70;70;70;79;61;55;55;55;61;57;49;49;49;57; 0
76;76;76;82;81;81;81;82;82;82;82;82;79;79;79;82;74;71;71;71;74;71;64;64;64;71; 0
60;60;60;58;60;60;60;58;61;61;61;61;66;66;66;61;73;77;77;77;73;75;81;81;81;75; 0
78;78;78;82;81;81;81;82;82;82;82;82;78;78;78;82;66;63;63;63;66;62;52;52;52;62; 0
74;74;74;77;76;76;76;77;76;76;76;78;78;78;78;78;82;79;79;79;82;81;79;79;79;81; 0
78;78;78;82;82;82;82;82;82;82;82;81;79;79;79;81;70;68;68;68;70;67;61;61;61;67; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;83
78;78;78;82;81;81;81;82;80;80;80;81;72;72;72;81;62;57;57;57;62;58;49;49;49;58; 0
80;80;80;74;78;78;78;74;75;75;75;72;70;70;70;72;53;56;56;56;53;50;51;51;51;50; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;83
77;77;77;82;80;80;80;82;80;80;80;81;71;71;71;81;59;55;55;55;59;55;45;45;45;55; 0
81;81;81;78;80;80;80;78;78;78;78;75;69;69;69;75;55;53;53;53;55;53;49;49;49;53; 0
81;81;81;79;80;80;80;79;78;78;78;77;69;69;69;77;56;52;52;52;56;53;48;48;48;53; 0
81;81;81;74;78;78;78;74;76;76;76;72;70;70;70;72;61;62;62;62;61;61;63;63;63;61; 0
66;66;66;67;68;68;68;67;71;71;71;70;78;78;78;70;73;80;80;80;73;73;78;78;78;73; 0
76;76;76;82;81;81;81;82;82;82;82;81;79;79;79;81;73;70;70;70;73;70;62;62;62;70; 0
58;58;58;58;57;57;57;58;58;58;58;61;63;63;63;61;74;76;76;76;74;77;81;81;81;77; 0
74;74;74;79;79;79;79;79;81;81;81;80;78;78;78;80;69;66;66;66;69;65;55;55;55;65; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;83
69;69;69;70;71;71;71;70;73;73;73;71;76;76;76;71;76;80;80;80;76;77;80;80;80;77; 0
76;76;76;81;80;80;80;81;81;81;81;81;78;78;78;81;70;68;68;68;70;67;58;58;58;67; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;83
77;77;77;83;81;81;81;83;81;81;81;81;75;75;75;81;66;62;62;62;66;62;53;53;53;62; 0
80;80;80;82;82;82;82;82;82;82;82;82;76;76;76;82;65;62;62;62;65;61;53;53;53;61; 0
68;68;68;74;74;74;74;74;78;78;78;76;82;82;82;76;75;79;79;79;75;73;71;71;71;73; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;83
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;83
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;83
61;61;61;59;60;60;60;59;61;61;61;61;67;67;67;61;72;76;76;76;72;73;81;81;81;73; 0
55;55;55;53;56;56;56;53;58;58;58;55;65;65;65;55;68;77;77;77;68;71;82;82;82;71; 0
82;82;82;79;81;81;81;79;80;80;80;77;73;73;73;77;54;54;54;54;54;50;45;45;45;50; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;83
81;81;81;75;78;78;78;75;76;76;76;73;71;71;71;73;56;59;59;59;56;54;56;56;56;54; 0
61;61;61;60;61;61;61;60;62;62;62;62;66;66;66;62;71;76;76;76;71;74;81;81;81;74; 0
80;80;80;82;82;82;82;82;82;82;82;81;74;74;74;81;59;56;56;56;59;54;46;46;46;54; 0
62;62;62;59;60;60;60;59;61;61;61;60;68;68;68;60;71;76;76;76;71;72;80;80;80;72; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;83
78;78;78;79;80;80;80;79;81;81;81;80;82;82;82;80;83;84;84;84;83;82;81;81;81;82; 0
72;72;72;77;77;77;77;77;79;79;79;78;81;81;81;78;77;80;80;80;77;76;75;75;75;76; 0
81;81;81;75;78;78;78;75;74;74;74;74;69;69;69;74;60;60;60;60;60;58;60;60;60;58; 0
75;75;75;74;76;76;76;74;77;77;77;74;80;80;80;74;75;81;81;81;75;75;80;80;80;75; 0
68;68;68;67;68;68;68;67;69;69;69;68;74;74;74;68;74;79;79;79;74;75;80;80;80;75; 0
79;79;79;81;81;81;81;81;82;82;82;81;78;78;78;81;63;64;64;64;63;59;54;54;54;59; 0
73;73;73;76;76;76;76;76;77;77;77;78;81;81;81;78;79;81;81;81;79;78;77;77;77;78; 0
75;75;75;78;79;79;79;78;80;80;80;79;80;80;80;79;70;70;70;70;70;67;61;61;61;67; 0
76;76;76;78;79;79;79;78;80;80;80;79;80;80;80;79;75;76;76;76;75;73;70;70;70;73; 0
71;71;71;75;76;76;76;75;79;79;79;76;82;82;82;76;77;82;82;82;77;76;76;76;76;76; 0
70;70;70;72;72;72;72;72;74;74;74;74;79;79;79;74;78;81;81;81;78;78;79;79;79;78; 0
 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;83
63;63;63;59;60;60;60;59;61;61;61;60;67;67;67;60;71;77;77;77;71;73;81;81;81;73; 0
75;75;75;81;80;80;80;81;80;80;80;81;77;77;77;81;76;72;72;72;76;74;68;68;68;74; 0
68;68;68;70;71;71;71;70;72;72;72;72;76;76;76;72;80;82;82;82;80;80;82;82;82;80; 0
69;69;69;78;77;77;77;78;80;80;80;79;80;80;80;79;75;74;74;74;75;72;63;63;63;72; 0
81;81;81;81;81;81;81;81;80;80;80;79;72;72;72;79;63;59;59;59;63;61;55;55;55;61; 0
72;72;72;77;77;77;77;77;79;79;79;78;81;81;81;78;78;80;80;80;78;76;73;73;73;76; 0
82;82;82;83;83;83;83;83;82;82;82;81;74;74;74;81;61;58;58;58;61;58;51;51;51;58; 0
58;58;58;55;59;59;59;55;61;61;61;59;70;70;70;59;71;80;80;80;71;74;82;82;82;74; 0
71;71;71;69;72;72;72;69;73;73;73;72;77;77;77;72;75;81;81;81;75;75;80;80;80;75; 0
80;80;80;81;81;81;81;81;80;80;80;78;71;71;71;78;58;54;54;54;58;53;47;47;47;53; 0
81;81;81;74;77;77;77;74;73;73;73;71;64;64;64;71;53;51;51;51;53;51;51;51;51;51; 0
59;59;59;59;59;59;59;59;59;59;59;61;64;64;64;61;74;76;76;76;74;77;81;81;81;77; 0
